epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755026634,2022-11-06T19.17.06.634,6.295,-4.238,3.354,-1.646
1667755026675,2022-11-06T19.17.06.675,6.336,-1.220,7.378,-1.555
1667755026716,2022-11-06T19.17.06.716,6.377,0.000,6.677,-1.402
1667755026757,2022-11-06T19.17.06.757,6.418,-2.652,8.963,-2.043
1667755026797,2022-11-06T19.17.06.797,6.458,-3.598,9.055,-4.909
1667755026838,2022-11-06T19.17.06.838,6.499,-0.732,11.189,-4.299
1667755026879,2022-11-06T19.17.06.879,6.540,-5.701,6.494,-3.415
1667755026919,2022-11-06T19.17.06.919,6.580,-2.622,1.677,-1.768
1667755026960,2022-11-06T19.17.06.960,6.621,-0.732,0.366,0.213
1667755027001,2022-11-06T19.17.07.001,6.662,-3.780,-0.427,1.159
1667755027042,2022-11-06T19.17.07.042,6.703,-1.463,-0.274,0.122
1667755027081,2022-11-06T19.17.07.081,6.742,-0.457,0.518,-0.061
1667755027122,2022-11-06T19.17.07.122,6.783,-0.366,1.921,0.610
1667755027163,2022-11-06T19.17.07.163,6.824,-2.256,1.311,-0.244
1667755027204,2022-11-06T19.17.07.204,6.865,-2.561,2.012,-0.671
1667755027244,2022-11-06T19.17.07.244,6.905,0.457,3.780,-0.793
1667755027285,2022-11-06T19.17.07.285,6.946,-1.159,3.872,-0.671
1667755027326,2022-11-06T19.17.07.326,6.987,-5.152,2.591,-0.427
1667755027367,2022-11-06T19.17.07.367,7.028,-1.067,4.787,0.030
1667755027406,2022-11-06T19.17.07.406,7.067,-1.982,3.140,0.610
1667755027447,2022-11-06T19.17.07.447,7.108,-5.366,1.220,0.366
1667755027488,2022-11-06T19.17.07.488,7.149,-3.750,0.549,-0.549
1667755027528,2022-11-06T19.17.07.528,7.189,-2.256,0.152,0.213
1667755027569,2022-11-06T19.17.07.569,7.230,-5.732,-2.287,0.274
1667755027610,2022-11-06T19.17.07.610,7.271,-3.415,-1.433,-1.128
1667755027651,2022-11-06T19.17.07.651,7.312,4.116,2.470,-1.707
1667755027691,2022-11-06T19.17.07.691,7.352,2.774,2.470,-1.524
1667755027732,2022-11-06T19.17.07.732,7.393,5.366,3.049,-0.762
1667755027773,2022-11-06T19.17.07.773,7.434,5.396,4.116,-0.579
1667755027814,2022-11-06T19.17.07.814,7.475,0.640,0.793,0.213
1667755027853,2022-11-06T19.17.07.853,7.514,0.244,-0.518,0.305
1667755027894,2022-11-06T19.17.07.894,7.555,1.341,-0.305,1.067
1667755027935,2022-11-06T19.17.07.935,7.596,0.213,-0.671,1.463
1667755027975,2022-11-06T19.17.07.975,7.636,2.439,1.463,0.976
1667755028016,2022-11-06T19.17.08.016,7.677,3.598,2.317,0.122
1667755028057,2022-11-06T19.17.08.057,7.718,3.506,1.280,0.488
1667755028098,2022-11-06T19.17.08.098,7.759,2.470,0.152,0.366
1667755028137,2022-11-06T19.17.08.137,7.798,1.189,-0.152,0.366
1667755028178,2022-11-06T19.17.08.178,7.839,1.646,-0.183,1.738
1667755028219,2022-11-06T19.17.08.219,7.880,2.835,0.518,2.256
