epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667892574811,2022-11-08T09:29:34.811,6.094,-0.083,0.314,-0.955
1667892574852,2022-11-08T09:29:34.852,6.135,-0.079,0.313,-0.956
1667892574892,2022-11-08T09:29:34.892,6.175,-0.089,0.316,-0.950
1667892574933,2022-11-08T09:29:34.933,6.216,-0.088,0.300,-0.954
1667892574974,2022-11-08T09:29:34.974,6.257,-0.084,0.307,-0.955
1667892575013,2022-11-08T09:29:35.013,6.296,-0.078,0.319,-0.954
1667892575054,2022-11-08T09:29:35.054,6.337,-0.081,0.314,-0.953
1667892575095,2022-11-08T09:29:35.095,6.378,-0.081,0.313,-0.953
1667892575136,2022-11-08T09:29:35.136,6.419,-0.079,0.305,-0.956
1667892575176,2022-11-08T09:29:35.176,6.459,-0.076,0.316,-0.953
1667892575217,2022-11-08T09:29:35.217,6.500,-0.075,0.310,-0.954
1667892575258,2022-11-08T09:29:35.258,6.541,-0.076,0.310,-0.952
1667892575299,2022-11-08T09:29:35.299,6.582,-0.072,0.320,-0.955
1667892575339,2022-11-08T09:29:35.339,6.622,-0.069,0.320,-0.950
1667892575380,2022-11-08T09:29:35.380,6.663,-0.073,0.311,-0.952
1667892575421,2022-11-08T09:29:35.421,6.704,-0.069,0.319,-0.952
1667892575462,2022-11-08T09:29:35.462,6.745,-0.067,0.314,-0.953
1667892575501,2022-11-08T09:29:35.501,6.784,-0.062,0.313,-0.956
1667892575542,2022-11-08T09:29:35.542,6.825,-0.062,0.320,-0.950
1667892575583,2022-11-08T09:29:35.583,6.866,-0.058,0.316,-0.953
1667892575623,2022-11-08T09:29:35.623,6.906,-0.056,0.321,-0.953
1667892575664,2022-11-08T09:29:35.664,6.947,-0.056,0.323,-0.948
1667892575705,2022-11-08T09:29:35.705,6.988,-0.052,0.319,-0.951
1667892575746,2022-11-08T09:29:35.746,7.029,-0.052,0.317,-0.953
1667892575785,2022-11-08T09:29:35.785,7.068,-0.051,0.316,-0.953
1667892575826,2022-11-08T09:29:35.826,7.109,-0.044,0.323,-0.953
1667892575867,2022-11-08T09:29:35.867,7.150,-0.038,0.328,-0.956
1667892575908,2022-11-08T09:29:35.908,7.191,-0.042,0.322,-0.952
1667892575948,2022-11-08T09:29:35.948,7.231,-0.044,0.323,-0.950
1667892575989,2022-11-08T09:29:35.989,7.272,-0.036,0.325,-0.953
1667892576030,2022-11-08T09:29:36.030,7.313,-0.042,0.323,-0.952
1667892576070,2022-11-08T09:29:36.070,7.353,-0.044,0.313,-0.954
1667892576111,2022-11-08T09:29:36.111,7.394,-0.051,0.317,-0.950
1667892576152,2022-11-08T09:29:36.152,7.435,-0.034,0.326,-0.955
1667892576193,2022-11-08T09:29:36.193,7.476,-0.040,0.327,-0.951
1667892576232,2022-11-08T09:29:36.232,7.515,-0.047,0.313,-0.953
1667892576273,2022-11-08T09:29:36.273,7.556,-0.041,0.312,-0.957
1667892576314,2022-11-08T09:29:36.314,7.597,-0.040,0.332,-0.952
1667892576355,2022-11-08T09:29:36.355,7.638,-0.036,0.317,-0.957
1667892576395,2022-11-08T09:29:36.395,7.678,-0.052,0.316,-0.952
1667892576436,2022-11-08T09:29:36.436,7.719,-0.042,0.311,-0.957
1667892576477,2022-11-08T09:29:36.477,7.760,-0.043,0.326,-0.952
1667892576518,2022-11-08T09:29:36.518,7.801,-0.039,0.314,-0.959
1667892576557,2022-11-08T09:29:36.557,7.840,-0.040,0.303,-0.958
1667892576598,2022-11-08T09:29:36.598,7.881,-0.055,0.322,-0.947
1667892576639,2022-11-08T09:29:36.639,7.922,-0.037,0.300,-0.963
1667892576679,2022-11-08T09:29:36.679,7.962,-0.046,0.323,-0.949
1667892576720,2022-11-08T09:29:36.720,8.003,-0.036,0.311,-0.959
1667892576761,2022-11-08T09:29:36.761,8.044,-0.045,0.309,-0.954
1667892576802,2022-11-08T09:29:36.802,8.085,-0.047,0.324,-0.949
1667892576842,2022-11-08T09:29:36.842,8.125,-0.029,0.317,-0.960
1667892576883,2022-11-08T09:29:36.883,8.166,-0.041,0.341,-0.945
1667892576924,2022-11-08T09:29:36.924,8.207,-0.029,0.318,-0.958
1667892576965,2022-11-08T09:29:36.965,8.248,-0.047,0.323,-0.948
1667892577004,2022-11-08T09:29:37.004,8.287,-0.038,0.332,-0.951
1667892577045,2022-11-08T09:29:37.045,8.328,-0.033,0.317,-0.958
1667892577086,2022-11-08T09:29:37.086,8.369,-0.056,0.318,-0.947
1667892577126,2022-11-08T09:29:37.126,8.409,-0.045,0.313,-0.956
1667892577167,2022-11-08T09:29:37.167,8.450,-0.040,0.334,-0.950
1667892577208,2022-11-08T09:29:37.208,8.491,-0.041,0.325,-0.952
1667892577249,2022-11-08T09:29:37.249,8.532,-0.048,0.315,-0.951
1667892577288,2022-11-08T09:29:37.288,8.571,-0.041,0.326,-0.951
1667892577329,2022-11-08T09:29:37.329,8.612,-0.032,0.324,-0.955
1667892577370,2022-11-08T09:29:37.370,8.653,-0.047,0.321,-0.951
1667892577411,2022-11-08T09:29:37.411,8.694,-0.049,0.313,-0.953
1667892577451,2022-11-08T09:29:37.451,8.734,-0.043,0.327,-0.951
1667892577492,2022-11-08T09:29:37.492,8.775,-0.040,0.325,-0.952
1667892577533,2022-11-08T09:29:37.533,8.816,-0.046,0.314,-0.954
1667892577572,2022-11-08T09:29:37.572,8.855,-0.047,0.320,-0.953
1667892577613,2022-11-08T09:29:37.613,8.896,-0.039,0.326,-0.954
1667892577654,2022-11-08T09:29:37.654,8.937,-0.041,0.324,-0.953
1667892577696,2022-11-08T09:29:37.696,8.979,-0.047,0.316,-0.953
1667892577735,2022-11-08T09:29:37.735,9.018,-0.046,0.324,-0.950
1667892577776,2022-11-08T09:29:37.776,9.059,-0.041,0.322,-0.954
1667892577817,2022-11-08T09:29:37.817,9.100,-0.046,0.322,-0.952
1667892577858,2022-11-08T09:29:37.858,9.141,-0.045,0.315,-0.954
1667892577898,2022-11-08T09:29:37.898,9.181,-0.042,0.326,-0.950
1667892577939,2022-11-08T09:29:37.939,9.222,-0.040,0.323,-0.954
1667892577980,2022-11-08T09:29:37.980,9.263,-0.044,0.318,-0.952
1667892578021,2022-11-08T09:29:38.021,9.304,-0.043,0.322,-0.953
1667892578060,2022-11-08T09:29:38.060,9.343,-0.039,0.321,-0.953
1667892578101,2022-11-08T09:29:38.101,9.384,-0.045,0.323,-0.951
1667892578142,2022-11-08T09:29:38.142,9.425,-0.042,0.321,-0.953
1667892578182,2022-11-08T09:29:38.182,9.465,-0.044,0.324,-0.951
1667892578223,2022-11-08T09:29:38.223,9.506,-0.044,0.322,-0.953
1667892578264,2022-11-08T09:29:38.264,9.547,-0.043,0.321,-0.951
1667892578305,2022-11-08T09:29:38.305,9.588,-0.043,0.323,-0.952
1667892578344,2022-11-08T09:29:38.344,9.627,-0.040,0.320,-0.954
1667892578385,2022-11-08T09:29:38.385,9.668,-0.046,0.323,-0.950
1667892578426,2022-11-08T09:29:38.426,9.709,-0.041,0.320,-0.954
1667892578467,2022-11-08T09:29:38.467,9.750,-0.045,0.327,-0.949
1667892578507,2022-11-08T09:29:38.507,9.790,-0.043,0.319,-0.952
1667892578548,2022-11-08T09:29:38.548,9.831,-0.044,0.324,-0.951
1667892578589,2022-11-08T09:29:38.589,9.872,-0.041,0.325,-0.953
1667892578629,2022-11-08T09:29:38.629,9.912,-0.044,0.323,-0.952
1667892578670,2022-11-08T09:29:38.670,9.953,-0.044,0.323,-0.951
1667892578711,2022-11-08T09:29:38.711,9.994,-0.044,0.323,-0.952
1667892578752,2022-11-08T09:29:38.752,10.035,-0.042,0.328,-0.952
1667892578791,2022-11-08T09:29:38.791,10.074,-0.040,0.321,-0.953
1667892578832,2022-11-08T09:29:38.832,10.115,-0.045,0.324,-0.949
1667892578873,2022-11-08T09:29:38.873,10.156,-0.042,0.322,-0.951
1667892578914,2022-11-08T09:29:38.914,10.197,-0.042,0.324,-0.952
1667892578954,2022-11-08T09:29:38.954,10.237,-0.043,0.325,-0.951
1667892578995,2022-11-08T09:29:38.995,10.278,-0.044,0.320,-0.952
1667892579036,2022-11-08T09:29:39.036,10.319,-0.046,0.324,-0.950
1667892579077,2022-11-08T09:29:39.077,10.360,-0.042,0.325,-0.952
1667892579116,2022-11-08T09:29:39.116,10.399,-0.043,0.320,-0.953
1667892579157,2022-11-08T09:29:39.157,10.440,-0.046,0.321,-0.951
1667892579198,2022-11-08T09:29:39.198,10.481,-0.044,0.321,-0.954
1667892579238,2022-11-08T09:29:39.238,10.521,-0.039,0.323,-0.955
1667892579279,2022-11-08T09:29:39.279,10.562,-0.042,0.334,-0.948
1667892579320,2022-11-08T09:29:39.320,10.603,-0.044,0.322,-0.951
1667892579361,2022-11-08T09:29:39.361,10.644,-0.040,0.323,-0.952
1667892579401,2022-11-08T09:29:39.401,10.684,-0.040,0.325,-0.952
1667892579442,2022-11-08T09:29:39.442,10.725,-0.050,0.325,-0.949
1667892579483,2022-11-08T09:29:39.483,10.766,-0.044,0.317,-0.956
1667892579524,2022-11-08T09:29:39.524,10.807,-0.043,0.338,-0.945
1667892579563,2022-11-08T09:29:39.563,10.846,-0.045,0.334,-0.947
1667892579604,2022-11-08T09:29:39.604,10.887,-0.041,0.321,-0.953
1667892579645,2022-11-08T09:29:39.645,10.928,-0.057,0.339,-0.943
1667892579685,2022-11-08T09:29:39.685,10.968,-0.032,0.319,-0.961
1667892579726,2022-11-08T09:29:39.726,11.009,-0.049,0.327,-0.948
1667892579767,2022-11-08T09:29:39.767,11.050,-0.064,0.333,-0.943
1667892579808,2022-11-08T09:29:39.808,11.091,-0.045,0.291,-0.965
1667892579847,2022-11-08T09:29:39.847,11.130,-0.066,0.335,-0.942
1667892579888,2022-11-08T09:29:39.888,11.171,-0.039,0.319,-0.959
1667892579929,2022-11-08T09:29:39.929,11.212,-0.058,0.319,-0.949
1667892579970,2022-11-08T09:29:39.970,11.253,-0.060,0.319,-0.951
1667892580010,2022-11-08T09:29:40.010,11.293,-0.043,0.310,-0.960
1667892580051,2022-11-08T09:29:40.051,11.334,-0.063,0.337,-0.942
1667892580092,2022-11-08T09:29:40.092,11.375,-0.047,0.303,-0.963
1667892580133,2022-11-08T09:29:40.133,11.416,-0.052,0.326,-0.950
1667892580173,2022-11-08T09:29:40.173,11.456,-0.062,0.330,-0.943
1667892580214,2022-11-08T09:29:40.214,11.497,-0.053,0.301,-0.963
1667892580255,2022-11-08T09:29:40.255,11.538,-0.047,0.341,-0.947
1667892580294,2022-11-08T09:29:40.294,11.577,-0.050,0.330,-0.951
1667892580335,2022-11-08T09:29:40.335,11.618,-0.068,0.302,-0.951
1667892580376,2022-11-08T09:29:40.376,11.659,-0.054,0.322,-0.954
1667892580417,2022-11-08T09:29:40.417,11.700,-0.039,0.342,-0.951
1667892580457,2022-11-08T09:29:40.457,11.740,-0.059,0.337,-0.944
1667892580498,2022-11-08T09:29:40.498,11.781,-0.063,0.301,-0.957
1667892580539,2022-11-08T09:29:40.539,11.822,-0.063,0.324,-0.950
1667892580580,2022-11-08T09:29:40.580,11.863,-0.057,0.329,-0.950
1667892580619,2022-11-08T09:29:40.619,11.902,-0.068,0.318,-0.948
1667892580660,2022-11-08T09:29:40.660,11.943,-0.064,0.317,-0.952
1667892580701,2022-11-08T09:29:40.701,11.984,-0.060,0.327,-0.951
1667892580741,2022-11-08T09:29:40.741,12.024,-0.062,0.330,-0.948
1667892580782,2022-11-08T09:29:40.782,12.065,-0.064,0.321,-0.951
1667892580823,2022-11-08T09:29:40.823,12.106,-0.066,0.325,-0.949
1667892580864,2022-11-08T09:29:40.864,12.147,-0.062,0.326,-0.950
1667892580904,2022-11-08T09:29:40.904,12.187,-0.067,0.330,-0.946
1667892580945,2022-11-08T09:29:40.945,12.228,-0.065,0.328,-0.949
1667892580986,2022-11-08T09:29:40.986,12.269,-0.068,0.332,-0.947
1667892581027,2022-11-08T09:29:41.027,12.310,-0.068,0.332,-0.946
1667892581066,2022-11-08T09:29:41.066,12.349,-0.069,0.330,-0.946
1667892581107,2022-11-08T09:29:41.107,12.390,-0.068,0.334,-0.946
1667892581148,2022-11-08T09:29:41.148,12.431,-0.069,0.332,-0.947
1667892581188,2022-11-08T09:29:41.188,12.471,-0.072,0.333,-0.945
1667892581229,2022-11-08T09:29:41.229,12.512,-0.072,0.333,-0.946
1667892581270,2022-11-08T09:29:41.270,12.553,-0.073,0.335,-0.945
1667892581311,2022-11-08T09:29:41.311,12.594,-0.073,0.333,-0.945
1667892581350,2022-11-08T09:29:41.350,12.633,-0.073,0.337,-0.943
1667892581391,2022-11-08T09:29:41.391,12.674,-0.073,0.337,-0.944
1667892581432,2022-11-08T09:29:41.432,12.715,-0.076,0.336,-0.945
1667892581473,2022-11-08T09:29:41.473,12.756,-0.075,0.336,-0.944
1667892581513,2022-11-08T09:29:41.513,12.796,-0.074,0.336,-0.944
1667892581554,2022-11-08T09:29:41.554,12.837,-0.075,0.338,-0.944
1667892581595,2022-11-08T09:29:41.595,12.878,-0.076,0.337,-0.943
