epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667737126040,2022-11-06T14.18.46.040,7.189,0.442,-0.074,-0.918
1667737126081,2022-11-06T14.18.46.081,7.230,0.435,-0.081,-0.921
1667737126122,2022-11-06T14.18.46.122,7.271,0.443,-0.077,-0.913
1667737126163,2022-11-06T14.18.46.163,7.312,0.443,-0.071,-0.921
1667737126203,2022-11-06T14.18.46.203,7.352,0.440,-0.078,-0.920
1667737126244,2022-11-06T14.18.46.244,7.393,0.439,-0.081,-0.916
1667737126285,2022-11-06T14.18.46.285,7.434,0.437,-0.078,-0.919
1667737126326,2022-11-06T14.18.46.326,7.475,0.431,-0.101,-0.911
1667737126365,2022-11-06T14.18.46.365,7.514,0.450,-0.041,-0.920
1667737126406,2022-11-06T14.18.46.406,7.555,0.478,-0.070,-0.907
1667737126447,2022-11-06T14.18.46.447,7.596,0.457,-0.112,-0.906
1667737126487,2022-11-06T14.18.46.487,7.636,0.458,-0.055,-0.909
1667737126528,2022-11-06T14.18.46.528,7.677,0.456,-0.090,-0.915
1667737126569,2022-11-06T14.18.46.569,7.718,0.448,-0.094,-0.912
1667737126610,2022-11-06T14.18.46.610,7.759,0.448,-0.079,-0.918
1667737126650,2022-11-06T14.18.46.650,7.799,0.455,-0.089,-0.912
1667737126691,2022-11-06T14.18.46.691,7.840,0.448,-0.087,-0.913
1667737126732,2022-11-06T14.18.46.732,7.881,0.448,-0.084,-0.917
1667737126773,2022-11-06T14.18.46.773,7.922,0.450,-0.084,-0.911
1667737126812,2022-11-06T14.18.46.812,7.961,0.446,-0.089,-0.918
1667737126853,2022-11-06T14.18.46.853,8.002,0.450,-0.085,-0.912
1667737126894,2022-11-06T14.18.46.894,8.043,0.447,-0.086,-0.916
1667737126935,2022-11-06T14.18.46.935,8.084,0.448,-0.087,-0.913
1667737126975,2022-11-06T14.18.46.975,8.124,0.448,-0.082,-0.916
1667737127016,2022-11-06T14.18.47.016,8.165,0.447,-0.089,-0.915
1667737127057,2022-11-06T14.18.47.057,8.206,0.448,-0.085,-0.914
1667737127096,2022-11-06T14.18.47.096,8.245,0.447,-0.084,-0.918
1667737127137,2022-11-06T14.18.47.137,8.286,0.447,-0.089,-0.914
1667737127178,2022-11-06T14.18.47.178,8.327,0.446,-0.085,-0.918
1667737127219,2022-11-06T14.18.47.219,8.368,0.446,-0.090,-0.916
1667737127259,2022-11-06T14.18.47.259,8.408,0.441,-0.098,-0.917
1667737127300,2022-11-06T14.18.47.300,8.449,0.447,-0.078,-0.918
1667737127341,2022-11-06T14.18.47.341,8.490,0.457,-0.072,-0.911
1667737127382,2022-11-06T14.18.47.382,8.531,0.454,-0.077,-0.911
1667737127421,2022-11-06T14.18.47.421,8.570,0.456,-0.077,-0.911
1667737127462,2022-11-06T14.18.47.462,8.611,0.458,-0.073,-0.910
1667737127504,2022-11-06T14.18.47.504,8.653,0.456,-0.070,-0.913
1667737127543,2022-11-06T14.18.47.543,8.692,0.462,-0.087,-0.901
1667737127584,2022-11-06T14.18.47.584,8.733,0.462,-0.088,-0.907
1667737127625,2022-11-06T14.18.47.625,8.774,0.457,-0.075,-0.911
1667737127666,2022-11-06T14.18.47.666,8.815,0.460,-0.078,-0.908
1667737127706,2022-11-06T14.18.47.706,8.855,0.459,-0.079,-0.910
1667737127747,2022-11-06T14.18.47.747,8.896,0.455,-0.076,-0.913
1667737127788,2022-11-06T14.18.47.788,8.937,0.455,-0.064,-0.914
1667737127829,2022-11-06T14.18.47.829,8.978,0.459,-0.066,-0.908
1667737127868,2022-11-06T14.18.47.868,9.017,0.459,-0.071,-0.908
1667737127909,2022-11-06T14.18.47.909,9.058,0.459,-0.070,-0.911
1667737127950,2022-11-06T14.18.47.950,9.099,0.456,-0.064,-0.913
1667737127991,2022-11-06T14.18.47.991,9.140,0.456,-0.061,-0.914
1667737128031,2022-11-06T14.18.48.031,9.180,0.457,-0.071,-0.910
1667737128072,2022-11-06T14.18.48.072,9.221,0.456,-0.064,-0.910
1667737128113,2022-11-06T14.18.48.113,9.262,0.454,-0.067,-0.915
1667737128154,2022-11-06T14.18.48.154,9.303,0.456,-0.067,-0.912
1667737128193,2022-11-06T14.18.48.193,9.342,0.455,-0.068,-0.911
1667737128234,2022-11-06T14.18.48.234,9.383,0.451,-0.068,-0.917
1667737128275,2022-11-06T14.18.48.275,9.424,0.451,-0.068,-0.913
1667737128315,2022-11-06T14.18.48.315,9.464,0.452,-0.075,-0.912
1667737128356,2022-11-06T14.18.48.356,9.505,0.456,-0.076,-0.910
1667737128397,2022-11-06T14.18.48.397,9.546,0.455,-0.066,-0.913
1667737128438,2022-11-06T14.18.48.438,9.587,0.454,-0.074,-0.912
1667737128478,2022-11-06T14.18.48.478,9.627,0.455,-0.074,-0.910
1667737128519,2022-11-06T14.18.48.519,9.668,0.449,-0.070,-0.916
1667737128560,2022-11-06T14.18.48.560,9.709,0.451,-0.075,-0.912
1667737128601,2022-11-06T14.18.48.601,9.750,0.455,-0.068,-0.913
1667737128640,2022-11-06T14.18.48.640,9.789,0.451,-0.071,-0.913
1667737128681,2022-11-06T14.18.48.681,9.830,0.451,-0.071,-0.914
1667737128722,2022-11-06T14.18.48.722,9.871,0.450,-0.068,-0.913
1667737128762,2022-11-06T14.18.48.762,9.911,0.449,-0.070,-0.915
