epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668365986614,2022-11-13T20:59:46.614,9.059,-0.579,0.457,-0.122
1668365986655,2022-11-13T20:59:46.655,9.100,-0.610,0.457,-0.061
1668365986694,2022-11-13T20:59:46.694,9.139,-0.457,0.457,-0.152
1668365986735,2022-11-13T20:59:46.735,9.180,-0.549,0.640,-0.152
1668365986776,2022-11-13T20:59:46.776,9.221,-0.488,0.396,0.000
1668365986817,2022-11-13T20:59:46.817,9.262,-0.366,0.427,-0.091
1668365986857,2022-11-13T20:59:46.857,9.302,-0.640,0.610,-0.091
1668365986898,2022-11-13T20:59:46.898,9.343,-0.549,0.518,-0.122
1668365986939,2022-11-13T20:59:46.939,9.384,-0.640,0.518,-0.122
1668365986980,2022-11-13T20:59:46.980,9.425,-0.640,0.671,-0.152
1668365987020,2022-11-13T20:59:47.020,9.465,-0.366,0.701,-0.213
1668365987061,2022-11-13T20:59:47.061,9.506,-0.518,0.671,-0.122
1668365987102,2022-11-13T20:59:47.102,9.547,-0.579,0.671,-0.122
1668365987141,2022-11-13T20:59:47.141,9.586,-0.488,0.762,-0.152
1668365987182,2022-11-13T20:59:47.182,9.627,-0.610,0.579,-0.122
1668365987223,2022-11-13T20:59:47.223,9.668,-0.305,0.701,-0.091
1668365987264,2022-11-13T20:59:47.264,9.709,-0.549,0.884,-0.091
1668365987304,2022-11-13T20:59:47.304,9.749,-0.457,0.579,-0.030
1668365987345,2022-11-13T20:59:47.345,9.790,-0.152,0.396,-0.061
1668365987386,2022-11-13T20:59:47.386,9.831,-0.457,0.701,-0.091
1668365987427,2022-11-13T20:59:47.427,9.872,-0.518,0.732,0.000
1668365987466,2022-11-13T20:59:47.466,9.911,-0.183,0.549,0.000
1668365987507,2022-11-13T20:59:47.507,9.952,-0.579,0.701,-0.030
1668365987548,2022-11-13T20:59:47.548,9.993,-0.396,0.671,-0.030
1668365987588,2022-11-13T20:59:47.588,10.033,-0.579,0.671,0.000
1668365987629,2022-11-13T20:59:47.629,10.074,-0.579,0.701,-0.030
1668365987670,2022-11-13T20:59:47.670,10.115,-0.457,0.671,-0.122
1668365987711,2022-11-13T20:59:47.711,10.156,-0.518,0.732,0.000
1668365987751,2022-11-13T20:59:47.751,10.196,-0.122,0.701,-0.091
1668365987792,2022-11-13T20:59:47.792,10.237,-0.640,0.732,-0.122
1668365987833,2022-11-13T20:59:47.833,10.278,-0.244,0.488,-0.030
1668365987874,2022-11-13T20:59:47.874,10.319,-0.884,0.518,0.030
1668365987913,2022-11-13T20:59:47.913,10.358,-0.610,0.610,-0.030
1668365987954,2022-11-13T20:59:47.954,10.399,-0.488,0.640,-0.061
1668365987995,2022-11-13T20:59:47.995,10.440,-0.274,0.549,-0.061
1668365988036,2022-11-13T20:59:48.036,10.481,-0.122,0.579,-0.122
1668365988076,2022-11-13T20:59:48.076,10.521,-0.488,0.701,-0.152
1668365988117,2022-11-13T20:59:48.117,10.562,-0.091,0.549,-0.091
1668365988158,2022-11-13T20:59:48.158,10.603,-0.396,0.762,-0.183
1668365988197,2022-11-13T20:59:48.197,10.642,-0.518,0.884,-0.091
1668365988238,2022-11-13T20:59:48.238,10.683,-0.091,0.671,-0.061
1668365988279,2022-11-13T20:59:48.279,10.724,-0.183,0.610,-0.213
1668365988320,2022-11-13T20:59:48.320,10.765,-0.579,0.579,-0.091
1668365988360,2022-11-13T20:59:48.360,10.805,-0.366,0.518,0.000
1668365988401,2022-11-13T20:59:48.401,10.846,-0.610,0.579,-0.061
1668365988442,2022-11-13T20:59:48.442,10.887,-0.549,0.549,-0.030
1668365988483,2022-11-13T20:59:48.483,10.928,-0.335,0.793,-0.091
1668365988523,2022-11-13T20:59:48.523,10.968,-0.549,0.671,-0.030
1668365988564,2022-11-13T20:59:48.564,11.009,-0.488,0.518,0.030
1668365988605,2022-11-13T20:59:48.605,11.050,-0.335,0.732,-0.213
1668365988646,2022-11-13T20:59:48.646,11.091,-0.701,0.671,-0.091
1668365988685,2022-11-13T20:59:48.685,11.130,-0.061,0.549,0.000
1668365988726,2022-11-13T20:59:48.726,11.171,-0.335,0.457,-0.152
1668365988767,2022-11-13T20:59:48.767,11.212,-0.762,0.488,-0.030
1668365988807,2022-11-13T20:59:48.807,11.252,-0.427,0.549,0.061
1668365988848,2022-11-13T20:59:48.848,11.293,-0.793,0.579,0.061
1668365988889,2022-11-13T20:59:48.889,11.334,-0.915,0.610,0.091
1668365988930,2022-11-13T20:59:48.930,11.375,-0.640,0.610,-0.030
1668365988969,2022-11-13T20:59:48.969,11.414,-0.579,0.457,-0.030
1668365989010,2022-11-13T20:59:49.010,11.455,-0.183,0.701,-0.122
1668365989051,2022-11-13T20:59:49.051,11.496,-0.274,0.854,-0.183
1668365989092,2022-11-13T20:59:49.092,11.537,-0.610,0.762,-0.152
1668365989132,2022-11-13T20:59:49.132,11.577,-0.335,0.488,-0.183
1668365989173,2022-11-13T20:59:49.173,11.618,-0.457,0.549,-0.152
1668365989214,2022-11-13T20:59:49.214,11.659,-0.335,0.762,-0.152
1668365989255,2022-11-13T20:59:49.255,11.700,-0.396,0.854,-0.122
1668365989295,2022-11-13T20:59:49.295,11.740,-0.671,0.640,-0.061
1668365989336,2022-11-13T20:59:49.336,11.781,-0.518,0.549,-0.152
1668365989377,2022-11-13T20:59:49.377,11.822,-0.854,0.701,-0.122
1668365989416,2022-11-13T20:59:49.416,11.861,-0.732,0.762,-0.091
1668365989457,2022-11-13T20:59:49.457,11.902,-0.823,0.701,-0.122
1668365989498,2022-11-13T20:59:49.498,11.943,-0.732,0.579,-0.091
1668365989539,2022-11-13T20:59:49.539,11.984,-0.793,0.610,-0.091
1668365989579,2022-11-13T20:59:49.579,12.024,-0.762,0.579,-0.183
1668365989620,2022-11-13T20:59:49.620,12.065,-0.640,0.518,-0.152
1668365989661,2022-11-13T20:59:49.661,12.106,-0.854,0.640,-0.122
1668365989702,2022-11-13T20:59:49.702,12.147,-0.671,0.518,-0.091
1668365989741,2022-11-13T20:59:49.741,12.186,-0.701,0.457,-0.122
1668365989782,2022-11-13T20:59:49.782,12.227,-0.762,0.488,-0.122
1668365989823,2022-11-13T20:59:49.823,12.268,-0.427,0.305,-0.061
1668365989863,2022-11-13T20:59:49.863,12.308,-0.579,0.396,-0.061
1668365989904,2022-11-13T20:59:49.904,12.349,-0.701,0.427,-0.030
1668365989945,2022-11-13T20:59:49.945,12.390,-0.396,0.335,-0.091
1668365989986,2022-11-13T20:59:49.986,12.431,-0.762,0.549,-0.183
