epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1668070216103,2022-11-10T10.50.16.103,13.518,-0.061,0.305,-0.396
1668070216142,2022-11-10T10.50.16.142,13.557,-0.030,0.244,-0.213
1668070216183,2022-11-10T10.50.16.183,13.598,0.091,0.152,-0.183
1668070216223,2022-11-10T10.50.16.223,13.638,0.000,0.213,-0.122
1668070216264,2022-11-10T10.50.16.264,13.679,0.152,0.152,-0.061
1668070216303,2022-11-10T10.50.16.303,13.718,0.122,0.122,0.000
1668070216343,2022-11-10T10.50.16.343,13.758,0.213,0.122,0.061
1668070216384,2022-11-10T10.50.16.384,13.799,0.335,0.122,0.091
1668070216424,2022-11-10T10.50.16.424,13.839,0.335,0.152,0.091
1668070216465,2022-11-10T10.50.16.465,13.880,0.274,0.244,0.030
1668070216504,2022-11-10T10.50.16.504,13.919,0.610,0.244,0.061
1668070216545,2022-11-10T10.50.16.545,13.960,0.732,0.213,0.244
1668070216585,2022-11-10T10.50.16.585,14.000,0.518,0.366,0.213
1668070216626,2022-11-10T10.50.16.626,14.041,0.488,0.274,0.061
1668070216665,2022-11-10T10.50.16.665,14.080,0.701,0.213,-0.030
1668070216706,2022-11-10T10.50.16.706,14.121,0.610,0.244,-0.091
1668070216746,2022-11-10T10.50.16.746,14.161,0.091,0.366,-0.122
1668070216787,2022-11-10T10.50.16.787,14.202,-0.061,0.335,-0.213
1668070216826,2022-11-10T10.50.16.826,14.241,-0.152,0.274,-0.396
1668070216866,2022-11-10T10.50.16.866,14.281,-0.762,0.152,-0.457
1668070216907,2022-11-10T10.50.16.907,14.322,-0.579,0.152,-0.549
1668070216947,2022-11-10T10.50.16.947,14.362,0.091,0.152,-0.701
1668070216988,2022-11-10T10.50.16.988,14.403,0.793,0.183,-0.945
1668070217027,2022-11-10T10.50.17.027,14.442,-0.305,0.213,-0.945
